"ano";"mes";"acre";"amapa";"amazonas";"para";"rondonia";"roraima";"tocantins";"alagoas";"bahia";"ceara";"maranhao";"paraiba";"pernambuco";"piaui";"rio_grande_do_norte";"sergipe";"espirito_santo";"minas_gerais";"rio_de_janeiro";"sao_paulo";"parana";"rio_grande_do_sul";"santa_catarina";"distrito_federal";"goias";"mato_grosso";"mato_grosso_do_sul"
1996;4;"0,0";"0,0";"8,73939912";"18,85784716";"0,63951189";"0,04463361";"0,23912783";"0,80121886";"18,73150087";"9,16441773";"1,31059568";"11,58640999";"13,40071683";"0,64726097";"2,88751077";"1,11271517";"212,70996793";"32,80996697";"92,54807608";"134,35362883";"22,02557912";"27,48537984";"25,6279395";"1,12679611";"3,68934085";"6,00065563";"6,24267163"
1996;5;"0,0";"0,0";"0,91794418";"2,16074546";"0,69976727";"0,02795911";"0,24057151";"1,48238311";"157,99357883";"15,73741325";"0,96440433";"2,67600271";"11,26674845";"1,76087739";"1,34139431";"5,54075907";"50,82860911";"148,63046963";"968,29730896";"207,24463565";"36,99557503";"144,45695151";"29,5052079";"2,16493039";"22,14156929";"5,05931523";"1,73026671"
1996;6;"0,0";"0,0";"6,90039322";"0,68338616";"0,76277329";"0,0";"0,13002553";"1,02139272";"26,67263709";"9,26482644";"0,64092011";"0,59718965";"12,37879781";"0,461517";"1,72192685";"2,20294262";"9,2168688";"52,81080117";"72,38068231";"212,39206122";"63,27836428";"22,31915406";"14,6557979";"9,94167354";"416,68218086";"2,87356622";"15,91843133"
1996;7;"0,0";"0,0";"4,20959393";"5,43940642";"0,89425049";"0,0";"2,50502346";"8,17796573";"33,50076334";"14,46141561";"9,58706299";"1,66638269";"12,12461274";"0,65856599";"3,95253886";"1,85476392";"6,03291716";"50,72030378";"43,17815523";"328,65928309";"42,60169555";"54,1941811999999";"42,45508026";"4,43038149";"5,7143033";"5,59549518";"5,89549504"
1996;8;"0,0";"0,0";"25,92458585";"1,3523262";"1,71146583";"0,0";"0,76812481";"29,83394277";"24,32217229";"20,29541276";"3,97973294";"1,08382999";"12,46182466";"0,41914074";"1,96498683";"54,5717897";"2,93667673";"26,60236367";"50,36415714";"685,556537799999";"92,13260227";"67,59932819";"35,60570352";"1,48797383";"8,40401609";"9,04655063";"5,1733665"
1996;9;"0,0";"0,27552327";"4,02303121";"1,74696309";"0,50066951";"0,0";"1,29220184";"2,0190416";"79,2123813";"71,15389698";"72,63010447";"0,53284412";"7,8650692";"1,98044865";"2,0891254";"0,30802938";"15,00286639";"26,93056265";"244,33823095";"600,053601179999";"200,49456351";"52,76739248";"215,70900793";"2,14915324";"116,36001163";"21,86655013";"2,79839366"
1996;10;"0,0";"0,98935653";"1,73392296";"28,79599725";"0,39228742";"0,0";"1,56142725";"12,06136318";"110,87188671";"22,60796366";"1,93094315";"2,90535172";"11,33246827";"2,55245232";"28,56935134";"6,25747987";"9,84501069";"32,22854267";"366,31726824";"180,19796091";"179,22433095";"77,09443662";"38,12440809";"0,86416433";"31,60317054";"23,90255733";"2,64405441"
1996;11;"2,06829694";"0,0";"3,00258632";"0,7935679";"33,12033935";"0,0";"1,65984734";"0,18607373";"37,41696201";"40,11569524";"3,31778443";"0,84131779";"11,3493791";"2,84718624";"1,7990623";"20,19334731";"6,6070296";"40,14625678";"22,69333162";"440,16070071";"181,80116398";"51,36520251";"31,39743042";"1,45930561";"5,16005617";"2,65727305";"38,04589571"
1996;12;"9,98019";"0,0";"2,00964612";"4,00582474";"13,00599453";"0,11304109";"0,28214032";"1,35365273";"14,67405694";"93,86785781";"8,56418629";"1,83292195";"8,66566758";"22,61446499";"1,12875322";"13,43819059";"120,16245133";"100,12232205";"181,26973485";"518,40900308";"137,29031954";"189,63705031";"19,58591049";"5,68949719";"5,04146895";"53,50367947";"1,66454247"
1997;1;"11,1427052";"0,0";"3,00048624";"0,36948311";"0,14947925";"0,0031166";"0,67862593";"2,83130523";"41,85513967";"58,43448282";"4,89994894";"1,32779577";"11,56186738";"1,12169182";"2,5496282";"17,56976422";"7,0799475";"114,07562614";"42,96700725";"117,87770868";"46,67833591";"145,09316004";"92,19229442";"5,47033762";"2,59559983";"1,3321888";"3,16770822"
